brand,username,created_at,text,cleaned_text,MBTI
Chanel,DA_MAE_WACK,2024-08-29 10:42:51+00:00,@NewJeans_ADOR @CHANEL カワイイし日本語どんどん上手になってて귀여워！,newjeans_ador chanel She's cute Japanese getting better better.,INTJ
Chanel,fEbnJu5vDqL76Di,2024-08-29 10:13:39+00:00,@NewJeans_ADOR @CHANEL https://t.co/IppLz65hSx,newjeans_ador chanel,INTP
Chanel,idekbro12251238,2024-08-29 07:32:03+00:00,@NewJeans_ADOR @CHANEL pls d iiiiiie,newjeans_ador chanel pls iiiiiie,INTP
Chanel,idekbro12251238,2024-08-29 07:31:57+00:00,@NewJeans_ADOR @CHANEL bitch,newjeans_ador chanel bitch,INTP
Chanel,idekbro12251238,2024-08-29 07:31:55+00:00,@NewJeans_ADOR @CHANEL pedo ass licker,newjeans_ador chanel pedo as licker,INTP
Chanel,jiwonoon,2024-08-29 07:28:11+00:00,@NewJeans_ADOR @CHANEL TE AMO,newjeans_ador chanel love,INFP
Chanel,luiza_galli,2024-08-29 04:47:14+00:00,@NewJeans_ADOR @CHANEL Minji is so pretty,newjeans_ador chanel minji pretty,INTP
Chanel,11hanjk,2024-08-29 04:08:43+00:00,@NewJeans_ADOR @CHANEL يازينك تهبلين🥹🤍 https://t.co/kMAqhMtDQL,newjeans_ador chanel beautiful,INTJ
Chanel,taucrush7,2024-08-29 03:59:00+00:00,@NewJeans_ADOR @CHANEL https://t.co/jd1VdWI9Ot,newjeans_ador chanel,INTP
Chanel,Kathy507515,2024-08-29 03:39:36+00:00,@NewJeans_ADOR @CHANEL STUNNING VISUAL🫢,newjeans_ador chanel stunning visual,INTJ
Chanel,ARcrazyworld1,2024-08-29 02:53:40+00:00,@hezy0_0 @NewJeans_ADOR @CHANEL Gae 😭🤌🏻,hezy0_0 newjeans_ador chanel gae,INTP
Chanel,DDiup_,2024-08-29 02:16:51+00:00,@NewJeans_ADOR @CHANEL 민지가 나랑 데이트하고 싶다고 했어요.,newjeans_ador chanel Minji said wanted go date,INFP
Chanel,jinii0808,2024-08-29 02:07:09+00:00,@NewJeans_ADOR @CHANEL So good~~💕💕,newjeans_ador chanel good,INTJ
Chanel,AlanRobins98069,2024-08-29 01:58:35+00:00,@NewJeans_ADOR @CHANEL If you''re interested and if you''re still|,newjeans_ador chanel youre interested youre still,INTJ
Chanel,JagadSuper10,2024-08-29 01:56:13+00:00,@NewJeans_ADOR @CHANEL minji's so pretty 😍,newjeans_ador chanel minjis pretty,INTP
Chanel,dwi_astini59331,2024-08-29 01:40:25+00:00,@NewJeans_ADOR @CHANEL hellooo,newjeans_ador chanel hellooo,INTP
Chanel,Phaiwan7,2024-08-29 01:36:32+00:00,@NewJeans_ADOR @CHANEL 🤍💐🩵,newjeans_ador chanel,INTP
Chanel,fraser_mig18763,2024-08-29 01:28:17+00:00,@NewJeans_ADOR @CHANEL Nice to meet you again!,newjeans_ador chanel nice meet,INFP
Chanel,TungManh7820,2024-08-29 01:01:30+00:00,"@NewJeans_ADOR @CHANEL Deserts store carbon, regulate climate, and support unique plant and animal adaptations, contributing to global biodiversity.",newjeans_ador chanel desert store carbon regulate climate support unique plant animal adaptation contributing global biodiversity,INTJ
Chanel,trudy_chan82950,2024-08-29 00:40:16+00:00,@NewJeans_ADOR @CHANEL How’s it going?,newjeans_ador chanel hows going,INFP
Chanel,ConnellLev40122,2024-08-29 00:20:08+00:00,"@NewJeans_ADOR @CHANEL #샤넬패션 @CHANEL
#NewJeans #광고 #광고",newjeans_ador chanel chanel fashion chanel newjeans advertisement advertisement,INTP
Chanel,BemoLindse32017,2024-08-29 00:10:23+00:00,@NewJeans_ADOR @CHANEL https://t.co/PSBSvXh7rn #샤넬패션 #뉴진스 #MINJI https://t.co/PSBSvXh7rn,newjeans_ador chanel chanel fashion new jean minji,INTP
Chanel,rios_jeane26003,2024-08-29 00:01:11+00:00,@NewJeans_ADOR @CHANEL How’s it going?,newjeans_ador chanel hows going,INFP
Chanel,ifhatethisapp,2024-08-28 23:04:54+00:00,@NewJeans_ADOR @CHANEL PLS KIM MINJI JUST ONE CHANCE 😭🙏🏾,newjeans_ador chanel pls kim minji one chance,INTP
Chanel,delia_tina13815,2024-08-28 22:45:22+00:00,@NewJeans_ADOR @CHANEL How’s it going?,newjeans_ador chanel hows going,INFP
Chanel,ClydeDowma9414,2024-08-28 22:11:37+00:00,@NewJeans_ADOR @CHANEL What have you been up to?,newjeans_ador chanel,INTP
Chanel,KEisiminge82742,2024-08-28 21:45:08+00:00,"@NewJeans_ADOR @CHANEL #샤넬패션 @CHANEL
#NewJeans #민지 https://t.co/ONCxTQ6y0m",newjeans_ador chanel chanel fashion chanel newjeans Minji,INTP
Chanel,schultz_le9374,2024-08-28 21:35:55+00:00,@NewJeans_ADOR @CHANEL Good afternoon!,newjeans_ador chanel good afternoon,INTJ
Chanel,ThoiThi4922,2024-08-28 21:04:26+00:00,@NewJeans_ADOR @CHANEL Avid twitteraholic. Zombie buff. Web advocate. Infuriatingly humble entrepreneur.,newjeans_ador chanel avid twitteraholic zombie buff web advocate infuriatingly humble entrepreneur,INTP
Chanel,VincentSco5690,2024-08-28 21:02:21+00:00,"@NewJeans_ADOR @CHANEL The country''s warm climate and tropical landscapes make it an ideal destination for outdoor adventures like snorkeling, hiking, and elephant trekking.",newjeans_ador chanel country warm climate tropical landscape make ideal destination outdoor adventure like snorkeling hiking elephant trekking,INTJ
Chanel,meustetekoo,2024-08-28 20:48:56+00:00,@NewJeans_ADOR @CHANEL te amo tanto,newjeans_ador chanel love much,INFP
Chanel,canh_tai6580,2024-08-28 19:58:04+00:00,@NewJeans_ADOR @CHANEL The intricate dance of a flock of starlings as they wheel and dive through the sky in perfect synchrony is a,newjeans_ador chanel intricate dance flock starling wheel dive sky perfect synchrony,INTJ
Chanel,sccpdaloh,2024-08-28 19:52:34+00:00,@NewJeans_ADOR @CHANEL MINHA,newjeans_ador chanel,INTP
Chanel,ga3456130,2024-08-28 19:33:56+00:00,@NewJeans_ADOR @CHANEL P,newjeans_ador chanel p,INTP
Chanel,NJ_loverfrfr123,2024-08-28 19:14:56+00:00,@NewJeans_ADOR @CHANEL This is so gay of her people are gonna go crazy over this,newjeans_ador chanel gay people gonna go crazy,INTJ
Chanel,hyeinamor,2024-08-28 18:50:14+00:00,@NewJeans_ADOR @newjeans_loop @CHANEL mi minji hermosa ❤️,newjeans_ador newjeans_loop chanel mi minji hermosa,INFJ
Chanel,ourvoice_1213,2024-08-28 18:48:24+00:00,@NewJeans_ADOR @CHANEL ❤️,newjeans_ador chanel,INTP
Chanel,thi_tinh9287,2024-08-28 18:41:55+00:00,@NewJeans_ADOR @CHANEL I regret not taking that opportunity when it was presented to me.,newjeans_ador chanel regret taking opportunity presented,INTJ
Chanel,GCaitlin32166,2024-08-28 18:23:42+00:00,@NewJeans_ADOR @CHANEL #뉴진스 #민지 #광고 #광고,newjeans_ador chanel new jean minji advertisement advertisement,INFP
Chanel,ThanhKho7060,2024-08-28 18:16:21+00:00,@NewJeans_ADOR @CHANEL There is something deeply calming about watching tmpacts of climate change.,newjeans_ador chanel something deeply calming watching tmpacts climate change,INTP
Chanel,LenitaSchl31492,2024-08-28 18:15:48+00:00,"@NewJeans_ADOR @CHANEL #광고 #샤넬패션 @CHANEL
#NewJeans #뉴진스 #MINJI",newjeans_ador chanel advertising chanel fashion chanel newjeans new jean minji,INTP
Chanel,minjiseyebrows,2024-08-28 18:06:29+00:00,@NewJeans_ADOR @CHANEL Te amo kim minji 💝💝💝💝💝💝💝💝,newjeans_ador chanel love kim minji,INFP
Chanel,dollsmiu,2024-08-28 18:06:25+00:00,@NewJeans_ADOR @CHANEL my fav girl &lt;3,newjeans_ador chanel fav girl lt3,INTJ
Chanel,SClaudie64943,2024-08-28 17:46:37+00:00,@NewJeans_ADOR @CHANEL #민지 #광고 #광고 #샤넬패션 #뉴진스,newjeans_ador chanel minji advertisement advertisement chanel fashion new jean,INTP
Chanel,underthocean,2024-08-28 17:42:50+00:00,@NewJeans_ADOR @CHANEL love you so much🌷,newjeans_ador chanel love much,INFP
Chanel,Story_VietNam,2024-08-28 17:42:20+00:00,@NewJeans_ADOR @CHANEL Hi,newjeans_ador chanel hi,INTJ
Chanel,jinjo2222,2024-08-28 17:21:37+00:00,@NewJeans_ADOR @CHANEL 😍😍😍😍😍😍😍,newjeans_ador chanel,INTP
Chanel,Natasha1B,2024-08-28 17:05:25+00:00,"@NewJeans_ADOR @CHANEL Goi cu hu dua, a salad made with jellyfish, coconut, shrimp, pork, and herbs, is a popular appetizer in Vietnam.",newjeans_ador chanel goi cu hu dua salad made jellyfish coconut shrimp pork herb popular appetizer vietnam,INTP
Chanel,thais_filgueira,2024-08-28 17:05:13+00:00,"@NewJeans_ADOR @CHANEL The delicate petals of a cherry blossom tree flutter to the ground like confetti, painting the landscape in shades of pink and white.",newjeans_ador chanel delicate petal cherry blossom tree flutter ground like confetti painting landscape shade pink white,INTP
Chanel,HoaiHi3108,2024-08-28 16:57:24+00:00,"@NewJeans_ADOR @CHANEL Travel is a form of inspiration, with each journey sparking creativity and fueling the imagination.",newjeans_ador chanel travel form inspiration journey sparking creativity fueling imagination,INTP
Chanel,TNa12650,2024-08-28 16:53:29+00:00,@NewJeans_ADOR @CHANEL princess ❤️❤️❤️,newjeans_ador chanel princess,INTP
Chanel,xWKFvSHtJL4713,2024-08-28 16:39:18+00:00,"@NewJeans_ADOR @CHANEL 2024 THE FACT MUSIC AWARDSでNewJeansが歌う曲！

https://t.co/rziJ9uURJO",newjeans_ador Chanel 2024 The Fact Music Awards Songs sung NewJeans,INTP
Chanel,kdicmsm,2024-08-28 16:30:07+00:00,@NewJeans_ADOR @CHANEL メロ韓国オンニすぎる,newjeans_ador chanel Melo Korean unnie,INTP
Chanel,ChiemTung4987,2024-08-28 16:30:00+00:00,@NewJeans_ADOR @CHANEL Each species plays its part in the intricate web of life that binds the mountain ecosystem together.,newjeans_ador chanel specie play part intricate web life bind mountain ecosystem together,INTP
Chanel,TobyDanni58056,2024-08-28 16:28:38+00:00,"@NewJeans_ADOR @CHANEL #광고 #샤넬패션 @CHANEL
#NewJeans #뉴진스",newjeans_ador chanel advertising chanel fashion chanel newjeans new jean,INTP
Chanel,JenkinSoph7167,2024-08-28 16:19:50+00:00,"@NewJeans_ADOR @CHANEL The beauty of a sunset is a fleeting yet profound moment, a reminder of the passage of time.",newjeans_ador chanel beauty sunset fleeting yet profound moment reminder passage time,INTJ
Chanel,GoodwinSca5172,2024-08-28 16:02:40+00:00,"@NewJeans_ADOR @CHANEL #광고 #샤넬패션 @CHANEL
#NewJeans #뉴진스",newjeans_ador chanel advertising chanel fashion chanel newjeans new jean,INTP
Chanel,HiHong524,2024-08-28 15:58:51+00:00,@NewJeans_ADOR @CHANEL I regret not telling you how much you meant to me before you were gone.,newjeans_ador chanel regret telling much meant gone,INFP
Chanel,avondibalik,2024-08-28 15:54:29+00:00,@NewJeans_ADOR @CHANEL nengg cakep bener siii🤩🥰😚🫠,newjeans_ador chanel nengg really beautiful siii,INTJ
Chanel,newjiram,2024-08-28 15:46:08+00:00,@NewJeans_ADOR @CHANEL CHANEL PRINCESS https://t.co/QBzIbhwBku,newjeans_ador chanel chanel princess,INTP
Chanel,LinaAbbott9587,2024-08-28 15:42:39+00:00,@NewJeans_ADOR @CHANEL Delta ecosystems support commercial fisheries and provide vital habitats for migratory species.,newjeans_ador chanel delta ecosystem support commercial fishery provide vital habitat migratory specie,INTP
Chanel,natkrita84,2024-08-28 15:38:41+00:00,@NewJeans_ADOR @CHANEL 💕😘💕 https://t.co/5mclMYqBFC,newjeans_ador chanel,INTP
Chanel,allyouhadtodwst,2024-08-28 15:36:55+00:00,@NewJeans_ADOR @CHANEL 이뻐요!! 진짜 예쁘다!! 아!!! https://t.co/0YOUJsEvw3,"newjeans_ador chanel pretty, really pretty",INTP
Chanel,minjifirstfan,2024-08-28 15:29:15+00:00,@NewJeans_ADOR gorgeous love,newjeans_ador gorgeous love,INTJ
Chanel,Jungweon,2024-08-28 15:26:34+00:00,@NewJeans_ADOR Aku mau jadi pujaan hatimu,newjeans_ador I want crush,INTP
Chanel,ditolongin_,2024-08-28 15:24:07+00:00,@NewJeans_ADOR @CHANEL buat aku kh bunganya,newjeans_ador chanel kh flower,INFP
Chanel,LocNha5752,2024-08-28 15:02:19+00:00,"@NewJeans_ADOR @CHANEL Mountains rise defiantly, their craggy peaks piercing the sky, a testament to the earth''s ancient power.",newjeans_ador chanel mountain rise defiantly craggy peak piercing sky testament earth ancient power,INTJ
Chanel,NgVnTon39224,2024-08-28 15:02:18+00:00,"@NewJeans_ADOR @CHANEL Limestone cliffs provide nesting sites for seabirds, support unique plant communities, and protect coastal habitats.",newjeans_ador chanel limestone cliff provide nesting site seabird support unique plant community protect coastal habitat,INTJ
Chanel,filhadomessi,2024-08-28 15:02:01+00:00,@NewJeans_ADOR @CHANEL Linda princesa,newjeans_ador chanel beautiful princess,INTJ
Chanel,AtNgac6321,2024-08-28 14:59:52+00:00,"@NewJeans_ADOR @CHANEL Craggy coastlines provide habitats for seabirds, marine mammals, and intertidal species.",newjeans_ador chanel craggy coastline provide habitat seabird marine mammal intertidal specie,INTJ
Chanel,KhanhHiu16701,2024-08-28 14:57:31+00:00,@NewJeans_ADOR @CHANEL What is the weather forecast today?,newjeans_ador chanel weather forecast today,INTJ
Chanel,zhokiyu280529,2024-08-28 14:51:47+00:00,@NewJeans_ADOR @CHANEL 女神！,newjeans_ador chanel goddess,INTP
Chanel,thien_han6610,2024-08-28 14:51:02+00:00,"@NewJeans_ADOR @CHANEL In the embrace of nature, there is healing - a balm for the body, mind, and spirit.",newjeans_ador chanel embrace nature healing balm body mind spirit,INTP
Chanel,louvjeans,2024-08-28 14:48:09+00:00,@NewJeans_ADOR @CHANEL MINJI OMGGGGGG,newjeans_ador chanel minji omgggggg,INTP
Chanel,520MinJi,2024-08-28 14:40:08+00:00,@NewJeans_ADOR @CHANEL https://t.co/SDsDNEnjEx,newjeans_ador chanel,INTP
Chanel,pdzi53svyz,2024-08-28 14:39:51+00:00,@NewJeans_ADOR @CHANEL 😄,newjeans_ador chanel,INTP
Chanel,be_song2622,2024-08-28 14:32:26+00:00,"@NewJeans_ADOR @CHANEL A canopy of stars stretches across the night sky, each twinkle a reminder of the vastness and beauty of the universe.",newjeans_ador chanel canopy star stretch across night sky twinkle reminder vastness beauty universe,INTJ
Chanel,Iangodni,2024-08-28 14:31:27+00:00,@NewJeans_ADOR @CHANEL preciosa,newjeans_ador chanel precious,INFP
Chanel,AndyCambur33511,2024-08-28 14:28:23+00:00,"@NewJeans_ADOR @CHANEL #광고 #샤넬패션 @CHANEL
#NewJeans #뉴진스 #MINJI",newjeans_ador chanel advertising chanel fashion chanel newjeans new jean minji,INTP
Chanel,HLcAn18806,2024-08-28 14:27:50+00:00,"@NewJeans_ADOR @CHANEL And so, we honor them, not just as obstacles to be conquered, but as partners in the journey of existence.",newjeans_ador chanel honor obstacle conquered partner journey existence,INFJ
Chanel,ludwig_ann9572,2024-08-28 14:26:38+00:00,@NewJeans_ADOR @CHANEL 🍋,newjeans_ador chanel,INTP
Chanel,sanariooe,2024-08-28 14:20:39+00:00,@NewJeans_ADOR @CHANEL is the flowers for me?,newjeans_ador chanel flower,INFP
Chanel,dualovefn,2024-08-28 14:18:59+00:00,@NewJeans_ADOR @CHANEL que linda 🤍💐,newjeans_ador chanel beautiful,INTJ
Chanel,cestmoderne,2024-08-25 15:29:25+00:00,@VogueFrance 👛,voguefrance,INTP
Chanel,sidd44681,2024-08-25 07:30:20+00:00,@VogueFrance Queen,voguefrance queen,INFP
Chanel,THEREFLEX968336,2024-08-24 17:50:27+00:00,@VogueFrance https://t.co/OtNzclxWKe,voguefrance,INTP
Chanel,CirceContact,2024-08-30 09:14:06+00:00,@VogueFrance Innovant,voguefrance innovative,INTP
Chanel,btuister,2024-08-29 06:09:06+00:00,@VogueFrance Lo que te llega / Lo que has pedido,Vogue France What get ordered,INTP
Chanel,PiliRiveraPR,2024-08-28 17:32:52+00:00,@VogueFrance Claudia Schiffer 🔝🙌🏻🙌🏻🙌🏻,voguefrance claudia schiffer,INTP
Chanel,lcylu,2024-08-28 17:29:52+00:00,@VogueFrance Expectativa/realidad 😄🥰,voguefrance expectativarealidad,INTP
Chanel,Dasharadhi1999,2024-08-31 07:31:19+00:00,@wkorea It girl and Human Chanel,wkorea girl human chanel,INTJ
Chanel,roxinaay,2024-08-31 06:49:13+00:00,@wkorea Human Chanel,wkorea human chanel,INTJ
Chanel,TrapJoeyy,2024-08-30 02:50:29+00:00,@RollingStone Put them on the cover.,rollingstone put cover,INTP
Chanel,SuperFly_1986,2024-08-29 19:45:59+00:00,"@RollingStone back to work @romyreiner 
&amp; laundry on top of that🤷‍♂️",rollingstone back work romyreiner amp laundry top,INTJ
Chanel,HolyRock56,2024-08-29 19:00:11+00:00,@RollingStone https://t.co/OQk5erUody,rollingstone,INTP
Chanel,BridgeMahone216,2024-08-30 20:22:30+00:00,@BritishVogue Of course it is 🥰🥰🥰🤩🤩🤩,britishvogue course,INTJ
Chanel,JimAdisa,2024-08-30 20:15:30+00:00,@BritishVogue Trip https://t.co/Dc32eqsORm,britishvogue trip,INTP
Chanel,Daisydreams01,2024-08-28 17:04:41+00:00,@RollingStone This woman is so gorgeous and talented.🔥🔥🔥,rollingstone woman gorgeous talented,INTJ
Chanel,onunblocked,2024-08-28 17:04:01+00:00,@RollingStone Looking stunning!,rollingstone looking stunning,INTJ
Chanel,martin7o2o,2024-08-28 16:58:43+00:00,@RollingStone Love her but why she is not acting anymore since Bones and all pretty much no new big projects for her.,rollingstone love acting anymore since bone pretty much new big project,INTJ
Chanel,kandircxot,2024-08-31 11:43:48+00:00,@untitledallure @saniyamushtaq_ buy me this😚😂,untitledallure saniyamushtaq_ buy,INTP
Chanel,sunshine07700,2024-08-30 18:53:13+00:00,@untitledallure This color highlights the white hands💅,untitledallure color highlight white hand,INTP
Chanel,keistl_,2024-08-26 13:07:25+00:00,@PRADAXBBY @bini_stacey 🩷🩷,pradaxbby bini_stacey,INTP
Chanel,luckybabe1991,2024-08-26 11:40:27+00:00,@PRADAXBBY 😍💕💕💕💕,pradaxbby,INTP
Chanel,Carolyn680011,2024-08-26 08:47:08+00:00,@PRADAXBBY So pretty bags😘♥️🩷👍https://t.co/MpRk4fhFaU🤩😚,pradaxbby pretty bag,INTP
Chanel,PhiThaGreat,2024-08-26 05:10:55+00:00,@PRADAXBBY Cool,pradaxbby cool,INTP
Chanel,lindseyconklin3,2024-08-26 03:15:33+00:00,@PRADAXBBY 🩷,pradaxbby,INTP
Chanel,CSchrenk49634,2024-08-26 02:03:53+00:00,@PRADAXBBY 👩‍🎤,pradaxbby,INTP
Chanel,badbitkay,2024-08-25 21:42:31+00:00,@PRADAXBBY All😍,pradaxbby,INTP
Chanel,sshadanii,2024-08-25 19:11:34+00:00,@PRADAXBBY @angela_vrdg,pradaxbby angela_vrdg,INTP
Chanel,arezeme,2024-08-25 18:42:42+00:00,@PRADAXBBY No bence,pradaxbby bence,INTP
Chanel,chloedavct,2024-08-25 17:36:01+00:00,@PRADAXBBY Cuties,pradaxbby cuties,INTP
Chanel,goddessofyouA,2024-08-25 16:51:29+00:00,@PRADAXBBY Subs reimburse!,pradaxbby sub reimburse,INTJ
Chanel,Renatabatistass,2024-08-30 23:43:09+00:00,"@PRADAXBBY Lindissima, preciso de uma dessa",pradaxbby beautiful I need one,INTJ
Chanel,dajshaaamarie,2024-08-30 20:10:35+00:00,@PRADAXBBY 😍😍,pradaxbby,INTP
Chanel,seilynelvld,2024-08-30 15:23:29+00:00,"@PRADAXBBY In my opinion, this is one of the best bags and suits my style on the channel, because the shape is cute like a puffer fish",pradaxbby opinion one best bag suit style channel shape cute like puffer fish,INTJ
Chanel,JupitersBindi,2024-08-30 11:56:12+00:00,@PRADAXBBY When she owns 2 of these in different colours but wants her rent paid 🤭🤭🤭🤭🤭🤭,pradaxbby owns 2 different colour want rent paid,INTP
Chanel,catwomanoofc,2024-08-30 10:24:26+00:00,@PRADAXBBY so pretty,pradaxbby pretty,INTP
Chanel,Carolyn680011,2024-08-30 08:58:39+00:00,@PRADAXBBY Lovely bags 😍🥰💝❣️😘https://t.co/MpRk4fhFaU🤩❤️💖,pradaxbby lovely bag,INTP
Chanel,PrettyMilfyX,2024-08-30 02:23:17+00:00,@PRADAXBBY I love it,pradaxbby love,INFP
Chanel,_Vivian_vc,2024-08-29 23:46:55+00:00,@PRADAXBBY 🩷,pradaxbby,INTP
Chanel,PhiThaGreat,2024-08-28 03:47:54+00:00,@PRADAXBBY Tough 🔥,pradaxbby tough,INFP
Chanel,MaryjRuth25040,2024-08-27 07:50:26+00:00,"@PRADAXBBY Banh bot loc, translucent dumplings made with tapioca flour and filled with shrimp and pork, are a specialty of central Vietnam.",pradaxbby banh bot loc translucent dumpling made tapioca flour filled shrimp pork specialty central vietnam,INFP
Chanel,jazzy_love01,2024-08-27 04:01:20+00:00,@PRADAXBBY Coral 🔥,pradaxbby coral,INTP
Chanel,vickyxexo,2024-08-27 03:56:33+00:00,@PRADAXBBY those chanel bags are . you're on top of the fashion game! https://t.co/QxEaCTJw81,pradaxbby chanel bag youre top fashion game,INTP
Chanel,AmanZehra326656,2024-08-27 01:22:04+00:00,@PRADAXBBY Beautiful color bgs❤️,pradaxbby beautiful color bgs,INTP
Chanel,Forevercurlybri,2024-08-26 23:54:48+00:00,@PRADAXBBY 🥺💗,pradaxbby,INTP
Chanel,qthaadon,2024-08-26 23:41:47+00:00,@PRADAXBBY 😍,pradaxbby,INTP
Chanel,spiderman21909,2024-08-26 22:32:07+00:00,@PRADAXBBY Can you watch my new YouTube short when it comes out on Sunday September 1 at 10:00am on Fraolzt6wv,pradaxbby watch new youtube short come sunday september 1 1000am fraolzt6wv,INTJ
Chanel,Julia_nah_,2024-08-26 18:47:50+00:00,@PRADAXBBY Perfect,pradaxbby perfect,INFJ
Chanel,Yanahbb22,2024-08-26 17:52:39+00:00,@PRADAXBBY Tea,pradaxbby tea,INTP
Chanel,Carolyn680011,2024-08-26 08:46:16+00:00,@PRADAXBBY So pretty bag 🤩💝☺️https://t.co/MpRk4fhFaU🤩😍,pradaxbby pretty bag,INTP
Chanel,Pony9785,2024-08-27 15:09:26+00:00,"@dramapotatoe Chanel boy
#WangYibo 💚 https://t.co/1ewymLNxbL",dramapotatoe chanel boy wangyibo,INTP
Chanel,paidheaux,2024-08-31 10:58:17+00:00,@khiamonique_ 😍 such a sweet girl fr so deserving go baby!,khiamonique_ sweet girl fr deserving go baby,INTJ
Chanel,miaaliyahh,2024-08-31 08:05:13+00:00,@khiamonique_ Loveee this for you.,khiamonique_ loveee,INTP
Chanel,vaehdiiorfiles,2024-08-31 04:30:57+00:00,@khiamonique_ i love that for youuuu sis🥹🥹🥹,khiamonique_ love youuuu si,INFP
Chanel,vaehdiiorfiles,2024-08-31 04:30:42+00:00,@khiamonique_ i need a quan,khiamonique_ need quan,INTJ
Chanel,Lithilovely,2024-08-31 04:30:26+00:00,@khiamonique_ Good for you,khiamonique_ good,INTJ
Chanel,amoraroyale,2024-08-31 04:27:12+00:00,@khiamonique_ awhhh so sweet💖,khiamonique_ awhhh sweet,INTJ
Chanel,cry444liv,2024-08-31 04:17:11+00:00,@khiamonique_ i need to get rich,khiamonique_ need get rich,INTJ
Chanel,exclusivenajae,2024-08-31 02:49:03+00:00,@khiamonique_ love thissss 😫,khiamonique_ love thissss,INFP
Chanel,theegirltayy,2024-08-31 02:34:05+00:00,@khiamonique_ 😍,khiamonique_,INTP
Chanel,the1nonlytricia,2024-08-31 02:27:32+00:00,@khiamonique_ Perioddtt,khiamonique_ perioddtt,INTP
Chanel,MiMi_Renee_,2024-08-31 02:18:30+00:00,@khiamonique_ Aww you deserve it all fr !!!! 🫶🏾,khiamonique_ aww deserve fr,INTJ
Chanel,yessitsnia,2024-08-31 02:08:30+00:00,@khiamonique_ ohhh that’s rightttt quan 🥹🥹👏🏽,khiamonique_ ohhh thats rightttt quan,INTJ
Chanel,kingopp_mike,2024-08-31 01:59:31+00:00,@khiamonique_ Real 1🏆🐐🐐,khiamonique_ real 1,INTP
Chanel,theaniyamonae,2024-08-31 01:57:31+00:00,@khiamonique_ as he shoulddd sista,khiamonique_ shoulddd sista,INTP
Chanel,thatlibrat1006,2024-08-31 01:55:15+00:00,@khiamonique_ ik u was crying so bad 😭💕,khiamonique_ u cry bad,INTJ
Chanel,blesssdbarb,2024-08-31 01:52:54+00:00,@khiamonique_ Love that for you cus out beating you was CRAZYYYYY😭😭,khiamonique_ love cu beating crazyyyyy,INTJ
Chanel,DevineShay29,2024-08-31 01:42:58+00:00,@khiamonique_ That’s too sweet 🥰,khiamonique_ thats sweet,INTJ
Chanel,l0vergirlazha,2024-08-31 01:41:33+00:00,@khiamonique_ you deserve it 🤍,khiamonique_ deserve,INTJ
Chanel,iiam_nyelle1,2024-08-31 01:40:03+00:00,@khiamonique_ Love this for you 🥰🥰,khiamonique_ love,INFP
Chanel,khiamonique_,2024-08-31 01:37:28+00:00,@businessbriyana every damn time! 😭,businessbriyana every damn time,INTJ
Chanel,businessbriyana,2024-08-31 01:34:44+00:00,@khiamonique_ U cry every time lol love that for u ❤️🌹,khiamonique_ u cry every time lol love u,INTP
Chanel,khiamonique_,2024-08-31 01:33:39+00:00,but those 300 roses had me crying! my baby did his shitttt 🥹,300 rose cry baby shitttt,INTP
